year,X2,X3,X4
1850,-0.336,-0.408,-0.308
1851,-0.159,-0.277,-0.229
1852,-0.107,-0.349,-0.133
1853,-0.177,-0.361,-0.141
1854,-0.071,-0.425,-0.2
1855,-0.19,-0.354,-0.247
1856,-0.378,-0.336,-0.296
1857,-0.405,-0.516,-0.528
1858,-0.4,-0.528,-0.478
1859,-0.215,-0.355,-0.358
1860,-0.363,-0.33,-0.296
1861,-0.295,-0.516,-0.446
1862,-0.668,-0.38,-0.386
1863,-0.195,-0.361,-0.395
1864,-0.521,-0.472,-0.503
1865,-0.258,-0.312,-0.197
1866,-0.21,-0.298,-0.258
1867,-0.338,-0.299,-0.15
1868,-0.128,-0.35,-0.159
1869,-0.127,-0.397,-0.158
1870,-0.203,-0.349,-0.235
1871,-0.397,-0.266,-0.17
1872,-0.185,-0.271,-0.323
1873,-0.295,-0.312,-0.302
1874,-0.272,-0.466,-0.482
1875,-0.508,-0.285,-0.237
1876,-0.345,-0.421,-0.331
1877,0,-0.154,0.092
1878,0.192,-0.117,0.215
1879,-0.222,-0.237,-0.215
1880,-0.242,-0.214,-0.215
1881,-0.238,-0.16,-0.052
1882,-0.244,-0.184,-0.24
1883,-0.359,-0.228,-0.312
1884,-0.474,-0.344,-0.379
1885,-0.367,-0.408,-0.288
1886,-0.338,-0.398,-0.337
1887,-0.356,-0.481,-0.444
1888,-0.266,-0.35,-0.079
1889,-0.138,-0.207,-0.053
1890,-0.363,-0.476,-0.513
1891,-0.289,-0.378,-0.235
1892,-0.466,-0.45,-0.458
1893,-0.543,-0.405,-0.498
1894,-0.375,-0.442,-0.485
1895,-0.368,-0.414,-0.264
1896,-0.152,-0.221,-0.016
1897,-0.144,-0.273,0.006
1898,-0.288,-0.538,-0.345
1899,-0.22,-0.36,-0.207
1900,-0.096,-0.314,0.023
1901,-0.124,-0.394,-0.127
1902,-0.367,-0.439,-0.177
1903,-0.4,-0.561,-0.359
1904,-0.485,-0.556,-0.494
1905,-0.336,-0.421,-0.262
1906,-0.199,-0.367,-0.241
1907,-0.477,-0.457,-0.366
1908,-0.458,-0.566,-0.479
1909,-0.448,-0.597,-0.453
1910,-0.417,-0.567,-0.501
1911,-0.421,-0.668,-0.479
1912,-0.466,-0.412,-0.237
1913,-0.447,-0.4,-0.361
1914,-0.237,-0.253,-0.198
1915,-0.125,-0.16,-0.027
1916,-0.385,-0.379,-0.386
1917,-0.493,-0.443,-0.539
1918,-0.353,-0.314,-0.334
1919,-0.36,-0.193,-0.204
1920,-0.278,-0.219,-0.272
1921,-0.101,-0.277,-0.243
1922,-0.245,-0.359,-0.296
1923,-0.231,-0.325,-0.251
1924,-0.222,-0.368,-0.224
1925,-0.117,-0.319,-0.212
1926,-0.008,-0.209,0.044
1927,-0.113,-0.309,-0.113
1928,-0.142,-0.273,-0.129
1929,-0.318,-0.384,-0.244
1930,-0.011,-0.263,-0.076
1931,0.035,-0.209,0.068
1932,-0.068,-0.205,-0.11
1933,-0.239,-0.307,-0.204
1934,-0.034,-0.228,-0.189
1935,-0.097,-0.259,-0.133
1936,-0.049,-0.246,-0.095
